feature,feature_value,shap_value,sample_idx,true_label,pred_val,base_value
SEPT6_Expr,-1.8549738831692877,-0.5049209594726562,11511,254.031908100948,254.03027,197.29434204101562
MMP8_Expr,1.5047274764187009,0.4993705749511719,11511,254.031908100948,254.03027,197.29434204101562
LS_90,0.7191638133955126,-0.4888801574707031,11511,254.031908100948,254.03027,197.29434204101562
POU4F1_Expr,-1.3235021965044116,0.4829902648925781,11511,254.031908100948,254.03027,197.29434204101562
MMP2_Expr,-0.9490383616818339,-0.4806404113769531,11511,254.031908100948,254.03027,197.29434204101562
WT1_Expr,-1.1701354724454802,-0.4776649475097656,11511,254.031908100948,254.03027,197.29434204101562
SPAG6_Expr,1.6507625688596643,-0.4607429504394531,11511,254.031908100948,254.03027,197.29434204101562
FGD5_Expr,0.9189871117762867,0.44751739501953125,11511,254.031908100948,254.03027,197.29434204101562
ADCY2_Expr,-0.5478640096712832,0.4425811767578125,11511,254.031908100948,254.03027,197.29434204101562
IDH2_Mut,-0.324976129587882,-0.4294700622558594,11511,254.031908100948,254.03027,197.29434204101562
RP11-497G19.2_Expr,-0.2438268599692286,-0.4217033386230469,11511,254.031908100948,254.03027,197.29434204101562
M1,1.9079616056310325,0.3997650146484375,11511,254.031908100948,254.03027,197.29434204101562
AR_Expr,-0.765568777710538,0.3991279602050781,11511,254.031908100948,254.03027,197.29434204101562
NDN_Expr,-1.1837578976562606,-0.3941612243652344,11511,254.031908100948,254.03027,197.29434204101562
DNTT_Expr,-0.8786662373023493,-0.3836174011230469,11511,254.031908100948,254.03027,197.29434204101562
DPP10_Expr,-0.7385111032389118,-0.381439208984375,11511,254.031908100948,254.03027,197.29434204101562
DDX3Y_Expr,-1.1342726141643948,-0.37005615234375,11511,254.031908100948,254.03027,197.29434204101562
LS_198,-0.7582354441069585,0.3667755126953125,11511,254.031908100948,254.03027,197.29434204101562
LTF_Expr,0.37955568957165864,0.3663978576660156,11511,254.031908100948,254.03027,197.29434204101562
LS_35,0.23804089945340312,-0.3533782958984375,11511,254.031908100948,254.03027,197.29434204101562
CYYR1_Expr,0.6380399745526798,0.3493499755859375,11511,254.031908100948,254.03027,197.29434204101562
DSC2_Expr,0.36554179591041364,0.3482170104980469,11511,254.031908100948,254.03027,197.29434204101562
DEFA4_Expr,0.5807015542245907,-0.342254638671875,11511,254.031908100948,254.03027,197.29434204101562
DPPA4_Expr,-0.3066945596252902,-0.3362922668457031,11511,254.031908100948,254.03027,197.29434204101562
RP11-424G14.1_Expr,-1.174186410819357,-0.3291740417480469,11511,254.031908100948,254.03027,197.29434204101562
ZFY_Expr,-1.3980225852143038,0.322662353515625,11511,254.031908100948,254.03027,197.29434204101562
HOXA7_Expr,0.7033145635201175,-0.3202056884765625,11511,254.031908100948,254.03027,197.29434204101562
ZNF521_Expr,0.8813743703706776,0.31984710693359375,11511,254.031908100948,254.03027,197.29434204101562
LS_214,0.5326387111944536,0.30835723876953125,11511,254.031908100948,254.03027,197.29434204101562
LS_138,0.14941804433292866,-0.2934532165527344,11511,254.031908100948,254.03027,197.29434204101562
SLITRK4_Expr,1.1180497350748344,0.2912483215332031,11511,254.031908100948,254.03027,197.29434204101562
PROM1_Expr,-1.140760270871353,0.2867546081542969,11511,254.031908100948,254.03027,197.29434204101562
LS_166,-1.9699843668634174,-0.2840995788574219,11511,254.031908100948,254.03027,197.29434204101562
NPTX2_Expr,-1.4982437073320032,-0.2597541809082031,11511,254.031908100948,254.03027,197.29434204101562
THSD7A_Expr,-1.37412011737188,0.24835586547851562,11511,254.031908100948,254.03027,197.29434204101562
CDH2_Expr,-0.41608121374244916,-0.24680709838867188,11511,254.031908100948,254.03027,197.29434204101562
IRX5_Expr,-1.5894493567816963,-0.2463531494140625,11511,254.031908100948,254.03027,197.29434204101562
PAX8-AS1_Expr,-0.755095829078923,-0.24611282348632812,11511,254.031908100948,254.03027,197.29434204101562
RP11-497G19.1_Expr,-0.1123893494283452,-0.24580001831054688,11511,254.031908100948,254.03027,197.29434204101562
M4,-2.0682439690859966,-0.23443603515625,11511,254.031908100948,254.03027,197.29434204101562
HOXB9_Expr,-1.0212926221716885,0.2308807373046875,11511,254.031908100948,254.03027,197.29434204101562
IDH1_Mut,-0.2800726597382253,0.22042465209960938,11511,254.031908100948,254.03027,197.29434204101562
LS_98,0.11318401635742709,-0.22028732299804688,11511,254.031908100948,254.03027,197.29434204101562
HOXA5_Expr,0.6409439824755089,0.2191619873046875,11511,254.031908100948,254.03027,197.29434204101562
HMGA2_Expr,-0.08173946006014861,0.21785736083984375,11511,254.031908100948,254.03027,197.29434204101562
