feature,shap_score,embedding_score,shap_norm,embedding_norm,combined_score
Immunogenic_Cell_Death_(ICD),2.063747386932373,0.0272424639659292,0.2009133172117203,0.13665840430161985,0.16878586075667007
PXDN_Expr,2.0703863525390624,0.0261222674286034,0.20282352777183324,0.13103877556513166,0.16693115166848244
HOXA6_Expr,2.0649512100219725,0.0258767905053276,0.20125968978155911,0.12980730490242223,0.1655334973419907
CDH2_Expr,2.284903907775879,0.0132245852969828,0.264546049565001,0.06633567863003978,0.1654408640975204
WT1-AS_Expr,2.1397883796691897,0.0206575238871616,0.22279237427160034,0.10362409535523122,0.1632082348134158
MUC4_Expr,2.3430395889282227,0.0085370826056145,0.28127326260322955,0.042820140107072795,0.16204670135515117
RXFP1_Expr,2.407962455749512,0.0045887835866224,0.29995333313558387,0.0230129242408779,0.1614831286882309
Progenitor-like,2.179692440032959,0.0173522955840176,0.23427385527542605,0.08704293719762478,0.16065839623652542
SNCAIP_Expr,1.9803657913208008,0.0287518981835397,0.17692216951006545,0.1442307004322367,0.1605764349711511
HOXA7_Expr,2.033478870391846,0.0250810294084078,0.19220424363610036,0.12581525370549082,0.1590097486707956
CD177_Expr,1.755331687927246,0.0408713470390492,0.11217375143499853,0.20502967703094035,0.15860171423296943
NKX2-3_Expr,1.9162758636474608,0.0315481915370527,0.15848175817322505,0.158258712447491,0.15837023531035804
MECOM_Expr,1.8565803527832032,0.0346523148808178,0.14130573979931688,0.1738309983482041,0.15756836907376048
BEX1_Expr,2.10418758392334,0.0203277991778095,0.21254905927180212,0.10196998342927516,0.15725952135053864
M1,2.07786169052124,0.0208712999934923,0.20497438536018725,0.10469653426240591,0.1548354598112966
MN1_Expr,1.9711320495605469,0.0259222839349136,0.1742653714386881,0.13003552930385917,0.15215045037127362
S100A16_Expr,1.649735164642334,0.0440733403262517,0.08179076621711953,0.22109294172711758,0.15144185397211857
PPARGC1A_Expr,2.064153861999512,0.0188006073886642,0.20103027111864955,0.09430860386020612,0.14766943748942785
SEPT6_Expr,1.8148846435546875,0.0329065492354126,0.1293087527988937,0.16507311126214574,0.14719093203051972
FOXC1_Expr,2.1308804893493654,0.0138074359022425,0.22022933250194407,0.06925963340159816,0.14474448295177111
ZMYM3_Expr,2.001534023284912,0.0209029707976975,0.18301284426759434,0.10485541545466893,0.14393412986113163
NDN_Expr,1.9157612037658691,0.025745956110599,0.158333676559473,0.12915095514607225,0.14374231585277264
SCN9A_Expr,2.042277526855469,0.0184790620004994,0.194735855861156,0.09269552468775138,0.1437156902744537
PROM1_Expr,1.7926610565185548,0.0325370589792051,0.12291442374901347,0.16321950969094917,0.14306696671998131
MKRN3_Expr,1.9902356338500977,0.021013438051513,0.17976199103393628,0.1054095904885112,0.14258579076122374
SBDS_Expr,2.153111038208008,0.0108246930320213,0.22662566465707648,0.05429627028759911,0.1404609674723378
RP11-497G19.2_Expr,1.853794403076172,0.0276079181209923,0.14050414646903173,0.13849175818482715,0.13949795232692944
M12,1.9060113906860352,0.0246113823181103,0.15552839076533356,0.12345920081949954,0.13949379579241655
NR4A3_Expr,2.2427090072631835,0.0052214158046136,0.2524054316860573,0.026186615707858064,0.13929602369695768
CD300E_Expr,2.1705198669433594,0.0092912427149343,0.23163465709046988,0.04660349390350933,0.1391190754969896
KIAA1456_Expr,1.8271880149841309,0.0289151058879815,0.13284876662361272,0.14504945560183127,0.138949111112722
RP11-497G19.1_Expr,1.815426139831543,0.0290259998686752,0.12946455597179596,0.14560577137307762,0.1375351636724368
RP11-129J12.2_Expr,1.7709589958190919,0.0299022662574281,0.11667015197833949,0.15000168906695843,0.13333592052264898
PAX8_Expr,2.219335536956787,0.0038069417562459,0.24568025001607285,0.019090701067557694,0.13238547554181526
NPTX2_Expr,1.8655392265319823,0.023919223938142,0.1438834508849705,0.1199868877095549,0.1319351692972627
IDH2_Mut,1.9563677597045899,0.0171349158017175,0.17001728460314247,0.08595241992619895,0.1279848522646707
TTTY14_Expr,2.132711181640625,0.0068946212860502,0.22075607235183237,0.03458049418562733,0.12766828326872984
HOXB-AS3_Expr,1.6739574813842772,0.0325274643158895,0.08876018404092018,0.16317137666795842,0.12596578035443928
TRIP11_Expr,2.167330513000488,0.0042207872867801,0.23071699341475027,0.02116681731891582,0.12594190536683306
JAZF1_Expr,1.8564053344726563,0.0216230212800228,0.14125538228207307,0.10846765334986656,0.12486151781596982
POU4F1_Expr,1.902540111541748,0.0186248587876198,0.15452960955884018,0.09342693546013726,0.12397827250948873
HOXB9_Expr,1.5741705894470215,0.0371069051219712,0.06004878741200367,0.1861448070378995,0.12309679722495159
SLITRK4_Expr,1.9095490646362305,0.0168145552063324,0.15654627555917713,0.08434528443891887,0.120445779999048
HOXA5_Expr,1.9150031280517579,0.0159438997081349,0.15811555760536947,0.07997751459298413,0.1190465360991768
