Metadata	Feature_Name
Patient	NPM1
Patient	STAG2_y
Patient	CEBPA_y
Patient	ASXL1
Patient	BCOR_y
Patient	PHF6_y
Patient	JAK2_y
Patient	NF1_y
Patient	EZH2_y
Patient	KIT_y
Patient	CSF3R_y
Patient	SMC1A_y
Patient	RAD21_y
Patient	CBL_y
Patient	OTOP2
Patient	SMC3
Patient	IKZF1_y
Patient	PDS5B
Patient	SETBP1_y
Patient	ZRSR2_y
Patient	CCND3_y
Patient	ACAN
Patient	CSMD2
Patient	PUF60
Patient	MYH13
Patient	TRRAP_y
Patient	BRCC3
Patient	TCHH
Patient	DOCK7
Patient	ADCY8
Patient	SORCS2
Patient	NFATC4
Patient	TEX15
Patient	MAMLD1
Patient	BBS10
Patient	RPAP1
Patient	SH2D7
Patient	DCDC1
Patient	ATP8B3
Patient	LPIN2
Patient	MYB_y
Patient	GJA8
Patient	GRM4
Patient	KCNH7
Patient	GRM3
Patient	UBR5_y
Patient	ARHGEF10_y
Patient	BCORL1_y
Patient	ACOT2
Patient	ETV6_y
Patient	TENM2
Patient	EP300_y
Patient	JAK3_y
Patient	NFIA
Patient	TOPAZ1
Patient	IGFN1
Patient	BRAF_y
Patient	PRPH
Patient	MPL_y
Patient	NOS1
Patient	RBBP6
Patient	RIT1
Patient	DSCAM
Patient	GNAS_y
Patient	TMPRSS6
Patient	CHD7
Patient	CREBBP_y
Patient	SYCP2
Patient	HUNK
Patient	MAP2
Patient	RPGRIP1
Patient	TCTN2
Patient	MYO1A
Patient	RIMS1
Patient	NBEAL2
Patient	PCDH1
Patient	SPEG
Patient	FILIP1
Patient	CTCF_y
Patient	FOLR4
Patient	CNTNAP3B
Patient	TSHZ2
Patient	SERPINI1
Patient	FER1L6
Patient	NAV3
Patient	HIST1H1C
Patient	PAPPA2
Patient	CHD2_y
Patient	RANBP17
Patient	SI
Patient	FBLN2_y
Patient	MYH14
Patient	C6
Patient	BRINP1
Patient	DUOX1
Patient	FRYL
Patient	SCN5A
Patient	COL12A1
Patient	EPHA3
Patient	SNCAIP_y
Patient	PRPF8
Patient	ADAMTSL1
Patient	AS3MT
Patient	SUSD5
Patient	CHD6
Patient	COL6A6
Patient	MYO6
Patient	UNC80
Patient	HTR4
Patient	WDR72
Patient	MYO16
Patient	KIF2B
Patient	ATG2A
Patient	BMP2K
Patient	CALR_y
Patient	TBL1XR1_y
Patient	SETD2_y
Patient	MYC_y
Patient	TMEM132D
Patient	KCNMA1
