CID,MolecularWeight,CanonicalSMILES,InChIKey,XLogP,Name,Targets
11656518,518.4,CN1C2=C(C=C(C=C2)OC3=CC(=NC=C3)C4=NC=C(N4)C(F)(F)F)N=C1NC5=CC=C(C=C5)C(F)(F)F,YABJJWZLRMPFSI-UHFFFAOYSA-N,5.4,RAF265 (CHIR-265),BRAF;KDR;RAF1;YES1
3275,325.4,CCN(CC)CCOC1=CC=CC=C1C(=O)CCC2=CC=CC=C2,OEGDFSLNGABBKJ-UHFFFAOYSA-N,4.2,Roscovitine (CYC-202),AIFM1;BAX;BCL2;BIRC5;CASP3;CASP9;CCNA2;CCNB1;CCND1;CDK1;CDK2;CDK5;CDK7;CDK9;CDKN1A;CSNK1D;CYCS;DIABLO;DYRK1A;EGR1;EP300;MCL1;PARP1;PLK1;POLR2A;RB1;RBL1;RNR2;SLBP;SLC3A2; SLC7A5;SMN1;SMN2;TOP1;TP53;XIAP
5169,331.3,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)O,QHKYPYXTTXKZST-UHFFFAOYSA-N,3.7,SB-202190,MAPK14;MAPK11;MAPK12;MAPK13;ATF2;HSP27;MAPKAPK2;TNF
176155,377.4,CS(=O)C1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F,CDMGBJANTYXAIV-UHFFFAOYSA-N,3.2,SB-203580,MAPK14;MAPK11;MAPK12;MAPK13;ATF2;HSP27;MAPKAPK2;TNF
9778,370.06,C(C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F,HBZVXKDQRIQMCW-UHFFFAOYSA-N,5.5,SB-431542,TGFBR1;TGFBR2;SMAD2;SMAD3;SMAD4;ID1;MMP2;CDKN2B
3025986,380.5,CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3,OUSFTKFNBAZUKL-UHFFFAOYSA-N,3,SNS-032 (BMS-387032),CDK1;CDK2;CDK4;CDK5;CDK7;CDK8;CDK9;CLK4;DYRK1A;DYRK1B;GSK3A;GSK3B;MELK;PRKD3;TAOK1
3467590,314.3,C1=CC=C2C(=C1)N=C3N2C(=O)C4=CC=CC5=C(C=CC3=C54)C(=O)O,MYKOWOGZBMOVBJ-UHFFFAOYSA-N,3.5,STO609,ACACA;AHR;AKT1;AKT1S1;CAMK1;CAMKK2;CAMP;CXCL8;CYP1A1;CYP1B1;CYP4F2;FAS;ITGB7;NOS2;SREBF1;STK11;CAMKK2;CAMKK1
10138259,442.5,CC1=C(NC(=C1C(=O)NCC(CN2CCOCC2)O)C)C=C3C4=C(C=CC(=C4)F)NC3=O,CTNPALGJUAXMMC-PMFHANACSA-N,0.9,SU14813,CCND2;CCND3;FGFR1;FLT1;FLT3;FLT4;KDR;KIT;PDGFRA;PDGFRB;RB1
6419747,353.4,CN1C=C(C2=CC=CC=C21)C=C3C4=C(C=CC(=C4)S(=O)(=O)N)NC3=O,MLKHXLFEYOOYEY-NVNXTCNLSA-N,1.5,SYK Inhibitor,SYK
3231,400.5,COC(=O)CCC=C=CCC1C(C(CC1=O)O)C=CC(COC2=CC=CC=C2)O,PTOJVMZPWPAXER-UHFFFAOYSA-N,1.3,Tandutinib (MLN518),ACVR1;CLK4;CSF1R;FLT3;FLT4;ITK;KIT;NTRK3;PDGFD;PDGFRA;PDGFRB
