Column_Label,Type
AHRR,Gene_Expr
ZNF275,Gene_Expr
MTMR1,Gene_Expr
GPC1,Gene_Expr
ADCK1,Gene_Expr
HAGH,Gene_Expr
RNF4,Gene_Expr
CASP8,Gene_Expr
LIMCH1,Gene_Expr
INTS13,Gene_Expr
TM7SF3,Gene_Expr
DLX3,Gene_Expr
SPA17,Gene_Expr
TSPAN32,Gene_Expr
CCN5,Gene_Expr
DMRT3,Gene_Expr
ST3GAL6,Gene_Expr
ATP2C2,Gene_Expr
NGFR,Gene_Expr
CDON,Gene_Expr
TAF2,Gene_Expr
HIPK2,Gene_Expr
TNPO3,Gene_Expr
BORCS8-MEF2B,Gene_Expr
RFXANK,Gene_Expr
TMEM161A,Gene_Expr
LPAR2,Gene_Expr
CTSA,Gene_Expr
SUGP2,Gene_Expr
SLC12A2,Gene_Expr
SNX24,Gene_Expr
EYA2,Gene_Expr
CNN2,Gene_Expr
ABCA7,Gene_Expr
SNCAIP,Gene_Expr
DDX20,Gene_Expr
BTBD1,Gene_Expr
FAR2,Gene_Expr
BCAS1,Gene_Expr
POU1F1,Gene_Expr
CHI3L2,Gene_Expr
SBNO2,Gene_Expr
PMS1,Gene_Expr
HMG20B,Gene_Expr
CALCRL,Gene_Expr
TAF11,Gene_Expr
ANKS1A,Gene_Expr
AP3D1,Gene_Expr
ZNF76,Gene_Expr
NHERF2,Gene_Expr
NTHL1,Gene_Expr
BLTP3A,Gene_Expr
GNAI3,Gene_Expr
IPO5,Gene_Expr
OAT,Gene_Expr
WDR3,Gene_Expr
PKN2,Gene_Expr
WDR18,Gene_Expr
TRAM2,Gene_Expr
NTN1,Gene_Expr
GLP2R,Gene_Expr
MCM10,Gene_Expr
DGKA,Gene_Expr
ERBB3,Gene_Expr
ROPN1,Gene_Expr
ANKRD44,Gene_Expr
KARS1,Gene_Expr
ADAT1,Gene_Expr
PDIA5,Gene_Expr
TBC1D22B,Gene_Expr
NDUFB4,Gene_Expr
SPEN,Gene_Expr
MYLK,Gene_Expr
ZC3H15,Gene_Expr
MAP2K4,Gene_Expr
PACC1,Gene_Expr
SNAP91,Gene_Expr
SLK,Gene_Expr
CYB5R4,Gene_Expr
COL17A1,Gene_Expr
GSTO2,Gene_Expr
SEC61A2,Gene_Expr
PRKCQ,Gene_Expr
TLE2,Gene_Expr
ASB1,Gene_Expr
FAM107B,Gene_Expr
ME1,Gene_Expr
TBC1D1,Gene_Expr
CDK13,Gene_Expr
MTHFD2,Gene_Expr
SLC9A7,Gene_Expr
FOXJ2,Gene_Expr
YBX1,Gene_Expr
PDE4A,Gene_Expr
PPP2R5A,Gene_Expr
CTNNA2,Gene_Expr
ELAVL1,Gene_Expr
TIE1,Gene_Expr
DIP2B,Gene_Expr
SMARCD1,Gene_Expr
KDM4A,Gene_Expr
NFYC,Gene_Expr
ZMYND12,Gene_Expr
SLC9A3,Gene_Expr
NGEF,Gene_Expr
ASPM,Gene_Expr
CD84,Gene_Expr
ELOVL1,Gene_Expr
SPI1,Gene_Expr
POLR1H,Gene_Expr
MPPED2,Gene_Expr
CLDN18,Gene_Expr
ZBTB11,Gene_Expr
ATXN3,Gene_Expr
GOLGA5,Gene_Expr
FGFR2,Gene_Expr
LRRC40,Gene_Expr
ISOC1,Gene_Expr
EML1,Gene_Expr
TRMT11,Gene_Expr
THUMPD1,Gene_Expr
MSANTD3,Gene_Expr
KIF26A,Gene_Expr
ATG2B,Gene_Expr
ARFGEF1,Gene_Expr
ACSM2B,Gene_Expr
ZFAT,Gene_Expr
MTFR1,Gene_Expr
STAG3,Gene_Expr
FECH,Gene_Expr
MYO9A,Gene_Expr
DDX3Y,Gene_Expr
PFKP,Gene_Expr
IDI1,Gene_Expr
SP100,Gene_Expr
KLF6,Gene_Expr
PLPP1,Gene_Expr
NEO1,Gene_Expr
TRAM1,Gene_Expr
PHKA1,Gene_Expr
TNFRSF1A,Gene_Expr
CACNB1,Gene_Expr
EVI5,Gene_Expr
STOML1,Gene_Expr
PKM,Gene_Expr
DHX29,Gene_Expr
DNTTIP2,Gene_Expr
METTL22,Gene_Expr
TP53BP1,Gene_Expr
TRO,Gene_Expr
RRP15,Gene_Expr
RHOA,Gene_Expr
DHX8,Gene_Expr
PRKCZ,Gene_Expr
ZFY,Gene_Expr
IARS2,Gene_Expr
SYT1,Gene_Expr
NAV3,Gene_Expr
IDH3G,Gene_Expr
ROGDI,Gene_Expr
